totcost,output,plabor,pfuel,pkap,log_totcost,log_output,log_plabor,log_pkap,log_pfuel,y_bar,x_second,x_third
1.13,130,1.8200001,38.900002,176,.12221763,4.8675346,.59883654,5.1704841,3.6609943,-3.5387766,-3.0621576,1.5094898
.99199998,138,1.8,20.200001,202,-.0080321878,4.9272537,.58778661,5.3082676,3.0056827,-3.0137148,-2.417896,2.3025849
1.554,149,1.92,22.5,227,.44083226,5.0039463,.65232515,5.4249501,3.1135154,-2.6726832,-2.4611902,2.3114347
1.225,196,1.92,29.1,186,.20294087,5.2781148,.65232515,5.2257466,3.3707383,-3.1677973,-2.7184131,1.8550084
1.5650001,197,2.1900001,29.1,183,.44788587,5.2832036,.78390157,5.209486,3.3707383,-2.9228525,-2.5868368,1.8387477
1.936,209,1.92,22.5,169,.66062397,5.3423343,.65232515,5.1298985,3.1135154,-2.4528913,-2.4611902,2.0163832
3.154,214,1.52,27.5,168,1.1486715,5.3659759,.41871032,5.1239638,3.3141861,-2.1655145,-2.8954759,1.8097777
2.599,220,1.92,22.5,164,.95512676,5.3936276,.65232515,5.0998664,3.1135154,-2.1583886,-2.4611902,1.986351
3.2980001,234,2.2,36.200001,164,1.1933162,5.4553213,.78845739,5.0998664,3.5890591,-2.3957429,-2.8006017,1.5108073
2.441,235,2.1099999,24.4,170,.89240777,5.4595857,.74668789,5.1357985,3.1945832,-2.3021755,-2.4478953,1.9412153
2.0309999,253,1.92,22.5,158,.70852822,5.5333896,.65232515,5.0625949,3.1135154,-2.4049871,-2.4611902,1.9490795
4.6659999,279,2.05,35.099998,177,1.5403022,5.6312118,.71783978,5.1761498,3.5582011,-2.017899,-2.8403614,1.6179488
1.834,290,1.66,33.400002,195,.60649937,5.6698809,.50681758,5.2729998,3.5085559,-2.9020565,-3.0017383,1.7644439
2.072,290,1.8,20.200001,176,.72851431,5.6698809,.58778661,5.1704841,3.0056827,-2.2771683,-2.417896,2.1648014
2.039,295,1.77,21.299999,188,.7124595,5.6869755,.57097954,5.2364421,3.058707,-2.3462474,-2.4877274,2.1777351
3.398,299,1.7,26.9,187,1.223187,5.7004437,.53062826,5.2311087,3.2921262,-2.0689392,-2.761498,1.9389825
3.0829999,324,2.05,35.099998,152,1.1259031,5.7807436,.71783978,5.0238805,3.5582011,-2.4322979,-2.8403614,1.4656794
2.3440001,333,2.1900001,29.1,157,.85185891,5.8081427,.78390157,5.0562458,3.3707383,-2.5188794,-2.5868368,1.6855075
2.382,338,1.85,24.6,163,.86794049,5.8230457,.61518568,5.09375,3.2027464,-2.334806,-2.5875607,1.8910036
2.6570001,353,2.1900001,29.1,143,.97719771,5.866468,.78390157,4.9628448,3.3707383,-2.3935406,-2.5868368,1.5921066
1.705,353,2.1300001,10.7,167,.53356516,5.866468,.75612205,5.1179938,2.3702438,-1.8366786,-1.6141217,2.74775
3.23,416,1.54,26.200001,217,1.1724821,6.0306854,.43178239,5.3798971,3.2657595,-2.0932775,-2.833977,2.1141376
5.0489998,420,1.52,27.5,144,1.6191902,6.0402546,.41871032,4.9698133,3.3141861,-1.6949959,-2.8954759,1.6556273
3.8139999,456,2.0899999,30,178,1.3386785,6.1224928,.73716402,5.1817837,3.4011974,-2.0625191,-2.6640334,1.7805862
4.5799999,484,1.75,42.799999,176,1.521699,6.182085,.55961579,5.1704841,3.7565382,-2.2348392,-3.1969223,1.4139459
4.3579998,516,2.3,23.6,167,1.4720132,6.2461066,.83290911,5.1179938,3.1612468,-1.6892335,-2.3283377,1.9567471
4.7140002,550,2.05,35.099998,158,1.5505369,6.3099184,.71783978,5.0625949,3.5582011,-2.0076642,-2.8403614,1.5043938
4.3569999,563,2.3199999,31.9,162,1.4717838,6.3332796,.84156716,5.0875964,3.462606,-1.9908222,-2.6210389,1.6249905
3.9189999,566,2.3099999,33.5,198,1.3658365,6.338594,.83724749,5.2882671,3.5115454,-2.145709,-2.6742978,1.7767217
3.4419999,592,1.92,22.5,164,1.2360526,6.3835068,.65232515,5.0998664,3.1135154,-1.8774627,-2.4611902,1.986351
4.8979998,671,2.05,35.099998,164,1.5888269,6.508769,.71783978,5.0998664,3.5582011,-1.9693742,-2.8403614,1.5416653
3.5840001,696,1.76,10.3,161,1.2764795,6.5453496,.56531382,5.0814042,2.332144,-1.0556645,-1.7668302,2.7492602
5.5349998,719,1.7,26.9,174,1.7110915,6.5778613,.53062826,5.1590552,3.2921262,-1.5810347,-2.761498,1.8669291
4.4060001,742,2.04,20.700001,157,1.4829673,6.6093493,.71294981,5.0562458,3.0301337,-1.5471665,-2.317184,2.0261121
4.289,795,2.24,26.5,185,1.4560536,6.6783423,.80647588,5.220356,3.2771447,-1.8210911,-2.4706688,1.9432113
6.7309999,800,1.7,26.9,157,1.9067237,6.6846118,.53062826,5.0562458,3.2921262,-1.3854024,-2.761498,1.7641196
6.895,808,1.6799999,39.700001,203,1.9307965,6.694562,.51879376,5.3132062,3.6813512,-1.7505547,-3.1625574,1.631855
5.112,811,2.29,28.5,178,1.6315907,6.6982679,.82855183,5.1817837,3.3499041,-1.7183133,-2.5213523,1.8318796
5.1409998,855,2,34.299999,183,1.6372476,6.7511015,.69314718,5.209486,3.5351453,-1.8978977,-2.8419981,1.6743407
5.7199998,860,2.3099999,33.5,168,1.7439687,6.7569323,.83724749,5.1239638,3.5115454,-1.7675767,-2.6742978,1.6124184
4.691,909,1.45,17.6,196,1.5456458,6.812345,.37156358,5.2781148,2.8678989,-1.3222531,-2.4963353,2.4102159
6.8319998,913,1.7,26.9,166,1.9216174,6.8167357,.53062826,5.1119876,3.2921262,-1.3705088,-2.761498,1.8198614
4.8130002,924,1.76,10.3,172,1.5713207,6.828712,.56531382,5.1474943,2.332144,-.76082337,-1.7668302,2.8153503
6.7540002,984,1.7,26.9,158,1.9101349,6.8916259,.53062826,5.0625949,3.2921262,-1.3819913,-2.761498,1.7704687
5.1269999,991,2.0899999,30,174,1.6345206,6.8987145,.73716402,5.1590552,3.4011974,-1.7666768,-2.6640334,1.7578578
6.388,1000,1.55,28.200001,225,1.8544213,6.9077554,.43825489,5.4161005,3.3393221,-1.4849008,-2.9010673,2.0767784
4.5089998,1098,2.1099999,24.4,168,1.5060754,7.0012455,.74668789,5.1239638,3.1945832,-1.6885078,-2.4478953,1.9293807
7.1849999,1109,2.05,35.099998,177,1.9719955,7.0112138,.71783978,5.1761498,3.5582011,-1.5862056,-2.8403614,1.6179488
6.8000002,1118,2.3,23.6,161,1.9169227,7.0192966,.83290911,5.0814042,3.1612468,-1.2443241,-2.3283377,1.9201574
7.743,1122,2.1900001,29.1,162,2.0467892,7.0228682,.78390157,5.0875964,3.3707383,-1.3239491,-2.5868368,1.7168581
7.9679999,1137,2.04,20.700001,158,2.0754335,7.0361485,.71294981,5.0625949,3.0301337,-.95470023,-2.317184,2.0324612
8.8579998,1156,2.3099999,33.5,176,2.1813209,7.052721,.83724749,5.1704841,3.5115454,-1.3302245,-2.6742978,1.6589386
8.5880003,1166,1.7,26.9,183,2.1503658,7.0613341,.53062826,5.209486,3.2921262,-1.1417603,-2.761498,1.9173598
6.4489999,1170,2.05,35.099998,166,1.8639251,7.0647593,.71783978,5.1119876,3.5582011,-1.694276,-2.8403614,1.5537865
8.4879999,1215,2.1900001,29.1,164,2.1386533,7.1024995,.78390157,5.0998664,3.3707383,-1.232085,-2.5868368,1.7291281
8.8769999,1279,2,34.299999,207,2.1834636,7.1538339,.69314718,5.3327188,3.5351453,-1.3516817,-2.8419981,1.7975736
10.274,1291,2.3199999,31.9,175,2.3296165,7.1631722,.84156716,5.1647859,3.462606,-1.1329894,-2.6210389,1.7021799
6.0240002,1290,1.55,28.200001,225,1.7957516,7.1623974,.43825489,5.4161005,3.3393221,-1.5435705,-2.9010673,2.0767784
8.2580004,1331,2.1300001,30,178,2.1111825,7.193686,.75612205,5.1817837,3.4011974,-1.290015,-2.6450753,1.7805862
13.376,1373,2.2,36.200001,157,2.593462,7.2247534,.78845739,5.0562458,3.5890591,-.99559712,-2.8006017,1.4671867
10.69,1420,2.2,36.200001,138,2.3693087,7.2584124,.78845739,4.9272537,3.5890591,-1.2197504,-2.8006017,1.3381946
8.3079996,1474,1.85,24.6,163,2.117219,7.2957349,.61518568,5.09375,3.2027464,-1.0855274,-2.5875607,1.8910036
6.0819998,1497,1.76,10.3,168,1.8053335,7.3112183,.56531382,5.1239638,2.332144,-.52681053,-1.7668302,2.7918198
9.2840004,1545,1.8,20.200001,158,2.2282925,7.3427792,.58778661,5.0625949,3.0056827,-.77739024,-2.417896,2.0569122
10.879,1649,2.3199999,31.9,177,2.3868344,7.4079242,.84156716,5.1761498,3.462606,-1.0757716,-2.6210389,1.7135439
8.4770002,1668,1.8,20.200001,170,2.1373568,7.4193807,.58778661,5.1357985,3.0056827,-.86832595,-2.417896,2.1301157
6.8769999,1782,2.1300001,10.7,183,1.9281825,7.4854918,.75612205,5.209486,2.3702438,-.44206131,-1.6141217,2.8392422
15.106,1831,1.98,35.5,162,2.7150919,7.5126176,.68309683,5.0875964,3.5695326,-.85444069,-2.8864357,1.5180638
8.0310001,1833,1.76,10.3,177,2.0833092,7.5137091,.56531382,5.1761498,2.332144,-.24883485,-1.7668302,2.8440058
8.0819998,1838,1.45,17.6,196,2.0896394,7.5164332,.37156358,5.2781148,2.8678989,-.77825952,-2.4963353,2.4102159
10.866,1787,2.24,26.5,164,2.3856387,7.4882936,.80647588,5.0998664,3.2771447,-.89150596,-2.4706688,1.8227217
8.5959997,1918,1.6900001,12.9,158,2.1512969,7.5590382,.52472854,5.0625949,2.5572274,-.40593052,-2.0324988,2.5053675
8.6730003,1930,1.8099999,22.6,157,2.1602149,7.5652752,.59332681,5.0562458,3.11795,-.95773506,-2.5246232,1.9382958
15.437,2028,2.1099999,24.4,163,2.7367673,7.6148052,.74668789,5.09375,3.1945832,-.45781589,-2.4478953,1.8991668
8.2110004,2057,1.76,10.3,161,2.1054747,7.629004,.56531382,5.0814042,2.332144,-.22666931,-1.7668302,2.7492602
11.982,2084,1.77,21.299999,156,2.4834056,7.6420445,.57097954,5.0498562,3.058707,-.57530141,-2.4877274,1.9911492
16.674,2226,2,34.299999,217,2.8138506,7.7079616,.69314718,5.3798971,3.5351453,-.72129464,-2.8419981,1.8447518
12.62,2304,2.3,23.6,161,2.5352829,7.7424021,.83290911,5.0814042,3.1612468,-.62596393,-2.3283377,1.9201574
12.905,2341,2.04,20.700001,183,2.5576148,7.7583337,.71294981,5.209486,3.0301337,-.47251892,-2.317184,2.1793523
11.615,2353,1.6900001,12.9,167,2.4522974,7.7634463,.52472854,5.1179938,2.5572274,-.10492992,-2.0324988,2.5607665
9.3210001,2367,1.76,10.3,161,2.23227,7.7693787,.56531382,5.0814042,2.332144,-.09987402,-1.7668302,2.7492602
12.962,2451,2.04,20.700001,163,2.562022,7.8042512,.71294981,5.09375,3.0301337,-.46811175,-2.317184,2.0636163
16.931999,2457,2.2,36.200001,170,2.8292053,7.8066964,.78845739,5.1357985,3.5890591,-.75985384,-2.8006017,1.5467393
9.6479998,2507,1.76,10.3,174,2.2667506,7.8268423,.56531382,5.1590552,2.332144,-.065393448,-1.7668302,2.8269112
18.35,2530,2.3099999,33.5,197,2.9096296,7.8359747,.83724749,5.2832036,3.5115454,-.60191584,-2.6742978,1.7716582
17.333,2576,1.92,22.5,162,2.8526123,7.8539929,.65232515,5.0875964,3.1135154,-.26090312,-2.4611902,1.974081
12.015,2607,1.76,10.3,155,2.486156,7.8659554,.56531382,5.0434251,2.332144,.15401196,-1.7668302,2.7112811
11.32,2870,1.76,10.3,167,2.4265711,7.9620671,.56531382,5.1179938,2.332144,.094427109,-1.7668302,2.7858498
22.337,2993,2.3099999,33.5,176,3.1062446,8.0040312,.83724749,5.1704841,3.5115454,-.40530086,-2.6742978,1.6589386
19.035,3202,2.3,23.6,170,2.9462793,8.0715313,.83290911,5.1357985,3.1612468,-.21496749,-2.3283377,1.9745517
12.205,3286,1.61,17.799999,183,2.5018456,8.0974264,.4762342,5.209486,2.8791983,-.37735271,-2.4029641,2.3302877
17.077999,3312,1.6799999,28.799999,190,2.837791,8.1053076,.51879376,5.2470241,3.3603754,-.52258444,-2.8415816,1.8866487
25.528,3498,2.0899999,30,170,3.2397759,8.1599464,.73716402,5.1357985,3.4011974,-.16142154,-2.6640334,1.734601
24.021,3538,2.0899999,30,176,3.1789284,8.1713171,.73716402,5.1704841,3.4011974,-.22226906,-2.6640334,1.7692866
32.196999,3794,2.05,35.099998,159,3.4718733,8.2411766,.71783978,5.0689044,3.5582011,-.086327791,-2.8403614,1.5107033
26.652,3841,2.29,28.5,157,3.2828641,8.2534876,.82855183,5.0562458,3.3499041,-.067039967,-2.5213523,1.7063417
20.164,4014,2.1099999,24.4,161,3.0038989,8.2975435,.74668789,5.0814042,3.1945832,-.19068432,-2.4478953,1.886821
14.132,4217,1.53,18.1,172,2.6484418,8.346879,.42526773,5.1474943,2.8959119,-.24747014,-2.4706442,2.2515824
21.41,4305,2.1099999,24.4,203,3.063858,8.3675327,.74668789,5.3132062,3.1945832,-.13072515,-2.4478953,2.118623
23.243999,4494,2.04,20.700001,167,3.1460471,8.4104986,.71294981,5.1179938,3.0301337,.11591339,-2.317184,2.0878601
29.844999,4764,2.1900001,29.1,195,3.3960173,8.4688425,.78390157,5.2729998,3.3707383,.025279045,-2.5868368,1.9022615
32.318001,5277,1.92,29.1,161,3.4756243,8.5711126,.65232515,5.0814042,3.3707383,.10488605,-2.7184131,1.7106659
21.988001,5283,2.04,20.700001,159,3.0904968,8.5722494,.71294981,5.0689044,3.0301337,.060363054,-2.317184,2.0387707
35.229,5668,2.1099999,24.4,177,3.5618696,8.6425915,.74668789,5.1761498,3.1945832,.36728644,-2.4478953,1.9815667
17.466999,5681,1.76,10.3,157,2.8603134,8.6448822,.56531382,5.0562458,2.332144,.52816939,-1.7668302,2.7241018
22.827999,5819,1.79,18.5,196,3.1279879,8.6688833,.58221561,5.2781148,2.9177706,.21021724,-2.3355551,2.3603442
33.153999,6000,2.1099999,24.4,183,3.5011632,8.6995144,.74668789,5.209486,3.1945832,.30658007,-2.4478953,2.0149028
32.228001,6119,1.54,26.200001,189,3.4728355,8.7191544,.43178239,5.2417469,3.2657595,.20707607,-2.833977,1.9759874
34.167999,6136,1.92,22.5,160,3.5312896,8.7219286,.65232515,5.0751739,3.1135154,.4177742,-2.4611902,1.9616585
40.594002,7193,2.1199999,28.6,162,3.7036204,8.8808632,.75141603,5.0875964,3.3534067,.35021377,-2.6019907,1.7341897
33.354,7886,1.61,17.799999,178,3.5071776,8.9728441,.4762342,5.1817837,2.8791983,.62797928,-2.4029641,2.3025854
64.542,8419,2.3199999,31.9,199,4.167316,9.0382462,.84156716,5.2933049,3.462606,.70471001,-2.6210389,1.830699
41.237999,8642,2.24,26.5,182,3.7193601,9.0643892,.80647588,5.2040067,3.2771447,.44221544,-2.4706688,1.926862
47.993,8787,2.3099999,33.5,190,3.8710551,9.0810289,.83724749,5.2470241,3.5115454,.35950971,-2.6742978,1.7354786
69.877998,9484,2.1099999,24.4,165,4.2467508,9.157361,.74668789,5.1059456,3.1945832,1.0521677,-2.4478953,1.9113624
44.894001,9956,1.6799999,28.799999,203,3.8043041,9.2059307,.51879376,5.3132062,3.3603754,.44392872,-2.8415816,1.9528308
67.120003,11477,2.24,26.5,151,4.2064819,9.3481007,.80647588,5.0172796,3.2771447,.92933726,-2.4706688,1.740135
73.050003,11796,2.1199999,28.6,148,4.2911444,9.3755159,.75141603,4.9972124,3.3534067,.9377377,-2.6019907,1.6438057
139.422,14359,2.3099999,33.5,212,4.9375052,9.5721321,.83724749,5.3565865,3.5115454,1.4259598,-2.6742978,1.845041
119.939,16719,2.3,23.6,162,4.7869835,9.7243013,.83290911,5.0875964,3.1612468,1.6257367,-2.3283377,1.9263496
